img,title,url,best_price,product_id
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Swift Edge OLED SFA16-41 (NX.KAASI.001) Laptop
                ",https://www.mysmartprice.com/computer/acer-swift-edge-oled-sfa16-41-nx.kaasi.001-laptop-msf598725,"124,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Thinkpad E14 (20TAS13R00) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-thinkpad-e14-20tas13r00-laptop-msf597684,"72,723",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion TouchSmart 11 x360 11-ad105tu (4QM22PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-touchsmart-11-x360-11-ad105tu-4qm22pa-laptop-msf576784,"34,812",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS TUF Gaming A17 FA706IHR-HX031W Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-tuf-gaming-a17-fa706ihr-hx031w-laptop-msf596627,"61,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS TUF FX705DD-AU060T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-tuf-fx705dd-au060t-laptop-msf575851,"49,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 15 X515MA-BR001W Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-15-x515ma-br001w-laptop-msf593821,"20,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 3511 (D560675WIN9BE) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-3511-d560675win9be-laptop-msf596040,"42,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Aspire 5 A514-54G-58PY (NX.A1XSI.003) Laptop
                ",https://www.mysmartprice.com/computer/acer-aspire-5-a514-54g-58py-nx.a1xsi.003-laptop-msf583041,"58,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion TouchSmart 11 x360 11-ad106tu (4QM23PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-touchsmart-11-x360-11-ad106tu-4qm23pa-laptop-msf576782,"45,980",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15-bw523au (2UX56PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15-bw523au-2ux56pa-laptop-msf577425,"22,790",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 255 G8 (3K1G7PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-255-g8-3k1g7pa-laptop-msf585632,"36,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion x360 14-dy1050TU (67G63PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-x360-14-dy1050tu-67g63pa-laptop-msf595484,"88,190",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Microsoft Pro 9 Intel Evo (QEZ-00048) Surface Pro 9 (QEZ-00048) Laptop
                ",https://www.mysmartprice.com/computer/microsoft-surface-pro-9-intel-evo-qez-00048-surface-pro-9-qez-00048-laptop-msf598552,"101,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Victus 16-e0650ax Laptop
                ",https://www.mysmartprice.com/computer/hp-victus-16-e0650ax-laptop-msf596994,"65,538",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS ROG Zephyrus G14 GA401II-HE022TS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-rog-zephyrus-g14-ga401ii-he022ts-laptop-msf581182,"85,000",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo V14 Gen 2 (82KAA002IH) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-v14-gen-2-82kaa002ih-laptop-msf597407,"41,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 3511 (D560496WIN9BE) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-3511-d560496win9be-laptop-msf593212,"39,300",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Aspire 3 A315-58 (UN.ADDSI.053) Laptop
                ",https://www.mysmartprice.com/computer/acer-aspire-3-a315-58-un.addsi.053-laptop-msf596630,"31,699",
